Category,Image,Title,Price
giay-nike,https://giayxshop.vn/wp-content/uploads/2022/12/z3965051741811_df7cefc0a6d7bbddcfb304dbb3abbad9-300x300.jpg,Nike Air Jordan 4 Retro White Oreo REP 1:1,750
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/04/z4279611307304_329b36ff557638c0cf522b0c752afab3-300x300.jpg,Nike Air Jordan 4 Snorlax Kem Xanh REP 1:1,750
giay-nike,https://giayxshop.vn/wp-content/uploads/2023/04/z4302526219010_26b1ed0e2f3b57986983b82841201dd7-300x300.jpg,Nike Air Jordan 4 Retro Fear Pack Đen Xám REP 1:1,750
giay-adidas,https://giayxshop.vn/wp-content/uploads/2019/02/z3676159904214_00fd7c0d92d88ed2e11c55f174168c44-300x300.jpg,Adidas Yeezy Boost 350 V2 Sesame REP,299
giay-adidas,https://giayxshop.vn/wp-content/uploads/2020/09/z3670525299645_9e7a578c3eae4a244930be8797cd92e4-300x300.jpg,Adidas A102 Xanh Rêu SF,400
giay-adidas,https://giayxshop.vn/wp-content/uploads/2022/08/z3670524548451_164c45a47d467ce7957e23cff6badeb1-300x300.jpg,Adidas A102 Full Black SF,400
giay-adidas,https://giayxshop.vn/wp-content/uploads/2023/03/z4159595927783_c64c2be5885dd21738773ad31d1539ba-300x300.jpg,Adidas A102 Đen Kẻ Trắng Phản Quang SF,400
giay-adidas,https://giayxshop.vn/wp-content/uploads/2021/12/z3662743840890_6d4542599a9f8e9c8e8c92e7fa2a9d80-300x300.jpg,Adidas Tubular Shadow Xám Kem REP,450
giay-adidas,https://giayxshop.vn/wp-content/uploads/2022/07/z3673614415158_587932a01a8a80b74b44f8d3637934cd-300x300.jpg,Adidas N977 Đen Xanh SF,450
giay-adidas,https://giayxshop.vn/wp-content/uploads/2019/01/z3651678985400_f5c2a3afb17825c7244e3a4698bb798c-300x300.jpg,Adidas Ultra Boost Đen Trắng REP,500
giay-adidas,https://giayxshop.vn/wp-content/uploads/2019/01/z3647647510353_90ad49fe304dad10fb7f5d0e4c729a8c-300x300.jpg,Adidas Stan Smith Trắng Gót Lục REP 1:1,500
giay-adidas,https://giayxshop.vn/wp-content/uploads/2021/12/z3647648764386_063a04fe20a949051e5a523325e40188-300x300.jpg,Adidas Superstar Trắng Kẻ Đen Mũi Sò REP 1:1,500
giay-adidas,https://giayxshop.vn/wp-content/uploads/2022/05/z3938688335886_ad4e32a7890a650572fc2c476f0bb0d4-300x300.jpg,Adidas 8681 Xám Kẻ Đen SF,500
giay-adidas,https://giayxshop.vn/wp-content/uploads/2022/07/z3657932276979_b1b1300f8bef5209d42fc776bcb132db-300x300.jpg,Adidas 8681 Đen Kẻ Trắng SF,500
giay-adidas,https://giayxshop.vn/wp-content/uploads/2022/07/z3649614687978_ee9fa4deb781b15ebdb0d4097cb762e4-300x300.jpg,Adidas Stan Smith Trắng Gót Đen REP 1:1,500
giay-adidas,https://giayxshop.vn/wp-content/uploads/2022/08/z3644896943688_3b2048c1270ac755f77fec3c506e3a70-300x300.jpg,Adidas 8681 Ghi Kẻ Trắng SF,500
giay-adidas,https://giayxshop.vn/wp-content/uploads/2022/07/z3650895191817_aebe39163cfbc1f6c16112f27d159109-300x300.jpg,Adidas Ultra Boost Trắng REP,500
